dataset,algorithm,r2_test,mse_test,symbolic_solution
feynman_III_10_19,AFP,0.9912230189398196,0.4577020749375476,False
feynman_III_10_19,AFP,0.9755734073822826,1.275973474706349,False
feynman_III_10_19,AFP,0.9429561863235034,3.0276336567361075,False
feynman_III_10_19,AFP,0.989405548424344,0.5648523292550901,False
feynman_III_10_19,AFP,0.9943058860656522,0.3044151287505593,False
feynman_III_10_19,AFP,0.9885283083023552,0.5995157127674249,False
feynman_III_10_19,AFP,0.9791156625208776,1.0987182249814402,False
feynman_III_10_19,AFP,0.9911401163615504,0.468653187382533,False
feynman_III_10_19,AFP_FE,0.9961769949667016,0.1993620954904221,False
feynman_III_10_19,AFP_FE,0.99769392733052,0.1223961509409717,False
feynman_III_10_19,AFP_FE,0.9994848105380306,0.0274677707970999,False
feynman_III_10_19,AFP_FE,0.996310661818261,0.1932869105989222,False
feynman_III_10_19,AFP_FE,0.9995161741068542,0.0258659948242987,False
feynman_III_10_19,AFP_FE,0.9970641768599,0.1533587804006577,False
feynman_III_10_19,AFP_FE,0.9895983558356112,0.5435945525320313,False
feynman_III_10_19,AFP_FE,1.0,1.3250125860371882e-29,True
feynman_III_10_19,AFP_FE,0.9930950765413914,0.3632657848810991,False
feynman_III_10_19,AFP_FE,0.9860521803050222,0.7377851023596772,False
feynman_III_10_19,AIFeynman,1.0,1.278182647259648e-29,True
feynman_III_10_19,AIFeynman,1.0,1.2857580785324853e-29,True
feynman_III_10_19,AIFeynman,1.0,1.281193729334877e-29,True
feynman_III_10_19,AIFeynman,1.0,1.3010249036312277e-29,True
feynman_III_10_19,AIFeynman,1.0,1.3283691891889038e-29,True
feynman_III_10_19,AIFeynman,1.0,1.2884283726966585e-29,True
feynman_III_10_19,AIFeynman,1.0,1.285564018749801e-29,True
feynman_III_10_19,AIFeynman,1.0,1.2784753146554848e-29,True
feynman_III_10_19,AIFeynman,1.0,1.3124965189149518e-29,True
feynman_III_10_19,BSR,0.948696625378668,2.675368769110595,False
feynman_III_10_19,BSR,0.8508915861616364,7.914015966740521,False
feynman_III_10_19,BSR,0.9366547886778336,3.377304611472195,False
feynman_III_10_19,BSR,0.9962402910406328,0.2009991897117662,False
feynman_III_10_19,BSR,0.9885949689844624,0.5957653317341459,False
feynman_III_10_19,BSR,0.9980740266131048,0.1006522262146105,False
feynman_III_10_19,BSR,0.8194066423582688,9.50095800500828,False
feynman_III_10_19,BSR,0.9672223169463388,1.733811217502757,False
feynman_III_10_19,DSR,0.9500594936672035,2.604297903256813,False
feynman_III_10_19,DSR,0.957438222537672,2.258991144355252,False
feynman_III_10_19,DSR,0.950162789103058,2.6571139107756894,False
feynman_III_10_19,DSR,0.7955858039581893,10.928262855990244,False
feynman_III_10_19,DSR,0.9592203831199204,2.1302074448945967,False
feynman_III_10_19,DSR,0.9498247748588848,2.6221795927376093,False
feynman_III_10_19,DSR,0.9581187676780104,2.203358056383294,False
feynman_III_10_19,DSR,0.9566134187502632,2.294980433386244,False
feynman_III_10_19,EPLEX,0.9904572493445584,0.4976354336028947,False
feynman_III_10_19,EPLEX,0.9909975124026084,0.4778122759951898,False
feynman_III_10_19,EPLEX,0.9910590040100185,0.4766969176966391,False
feynman_III_10_19,EPLEX,0.9907972005758996,0.4919942600119312,False
feynman_III_10_19,EPLEX,0.9982405752131532,0.0919071846774422,False
feynman_III_10_19,EPLEX,0.99696629482613,0.1585427823180039,False
feynman_III_10_19,EPLEX,0.997652276861386,0.1235129532926117,False
feynman_III_10_19,EPLEX,0.9958440372880684,0.2198341706359739,False
feynman_III_10_19,FEAT,0.9999677935964036,0.0016794997791652,False
feynman_III_10_19,FEAT,0.9998226824574276,0.0092625477676481,False
feynman_III_10_19,FEAT,0.9998253608804684,0.009126718097268,False
feynman_III_10_19,FEAT,0.9997333623097808,0.0140277224500748,False
feynman_III_10_19,FEAT,0.99918208057742,0.0437270924331803,False
feynman_III_10_19,FFX,0.9977282035110698,0.1211227904721717,False
feynman_III_10_19,FFX,0.99703766135398,0.1544800581947601,False
feynman_III_10_19,FFX,0.9975579176936524,0.1305570644138094,False
feynman_III_10_19,FFX,0.9975192199918343,0.1295886633285513,False
feynman_III_10_19,FFX,0.9973644231347386,0.1377364197518426,False
feynman_III_10_19,FFX,0.9971657494618664,0.1491090020702774,False
feynman_III_10_19,FFX,0.9973934197899538,0.1378778969855863,False
feynman_III_10_19,FFX,0.9973367407795468,0.1413540353067005,False
feynman_III_10_19,GP-GOMEA,0.9979026727725654,0.1093714361735356,False
feynman_III_10_19,GP-GOMEA,0.9989217285664412,0.0572298847663533,False
feynman_III_10_19,GP-GOMEA,0.9987118517914184,0.0686787334716859,False
feynman_III_10_19,GP-GOMEA,0.997597904058894,0.1284193385685647,False
feynman_III_10_19,GP-GOMEA,0.9977613779168342,0.1169390443732881,False
feynman_III_10_19,GP-GOMEA,0.9986795919827232,0.0690051105351828,False
feynman_III_10_19,GP-GOMEA,0.9985951415077536,0.0739091498829663,False
feynman_III_10_19,GP-GOMEA,0.9976739810431152,0.1230373041611369,False
feynman_III_10_19,ITEA,0.9674740404743464,1.699060619859181,False
feynman_III_10_19,ITEA,0.9680417779647974,1.6962012601743572,False
feynman_III_10_19,ITEA,0.9682267427928724,1.69401862978036,False
feynman_III_10_19,ITEA,0.9680091132997212,1.7102766130065703,False
feynman_III_10_19,ITEA,0.9673633007899152,1.7056084233267024,False
feynman_III_10_19,ITEA,0.9673271217914832,1.7189095314219702,False
feynman_III_10_19,ITEA,0.9686452364276756,1.6585443429556506,False
feynman_III_10_19,ITEA,0.9683122011041704,1.6524555773083571,False
feynman_III_10_19,MRGP,0.9999309878030168,0.003598848572036,False
feynman_III_10_19,MRGP,0.9999097328995864,0.0047909789632637,False
feynman_III_10_19,MRGP,0.9999116821815236,0.0047087407144145,False
feynman_III_10_19,MRGP,0.999811359701082,0.0100849687141381,False
feynman_III_10_19,MRGP,0.9999307013499744,0.0036199579961671,False
feynman_III_10_19,MRGP,0.9999100494844414,0.0047008539690768,False
feynman_III_10_19,MRGP,0.9999203371910204,0.0041910345571879,False
feynman_III_10_19,MRGP,0.9999286174041748,0.0037758600927897,False
feynman_III_10_19,Operon,0.9999592565338374,0.0021246905826576,False
feynman_III_10_19,Operon,0.9999649087033295,0.0018624910224332,False
feynman_III_10_19,Operon,0.999971519358276,0.0014877450961465,False
feynman_III_10_19,Operon,0.9999951158456332,0.0002604029053136,False
feynman_III_10_19,Operon,0.9999559768827422,0.00230640074467,False
feynman_III_10_19,Operon,0.999993284963563,0.0003589950438491,False
feynman_III_10_19,Operon,0.9999899366829664,0.0005259134261254,False
feynman_III_10_19,Operon,0.9999887012416346,0.0005916608437531,False
feynman_III_10_19,Operon,0.9999407727491858,0.0031159264664321,False
feynman_III_10_19,Operon,0.999979253956841,0.0010973845310842,False
feynman_III_10_19,SBP-GP,0.9999018756449568,0.0051169896114929,False
feynman_III_10_19,SBP-GP,0.9998052381298558,0.0103370997675846,False
feynman_III_10_19,SBP-GP,0.9997551719283586,0.0130532199374444,False
feynman_III_10_19,SBP-GP,0.9997670616870524,0.0124532012082076,False
feynman_III_10_19,SBP-GP,0.9997980354646024,0.0105500343020382,False
feynman_III_10_19,SBP-GP,0.9998223515691276,0.0092839860470062,False
feynman_III_10_19,SBP-GP,0.9997460050874188,0.0133625900167801,False
feynman_III_10_19,SBP-GP,0.9996126659456476,0.0204884563456717,False
feynman_III_10_19,SeTGAP,0.9979529923842404,0.2342743910013929,False
feynman_III_10_19,SeTGAP,0.9999999982006544,3.4610843528688857,False
feynman_III_10_19,SeTGAP,0.9957420513361298,0.5047495526162045,True
feynman_III_10_19,SeTGAP,0.9953295835934668,0.5108734511901296,False
feynman_III_10_19,SeTGAP,0.998642512780144,0.168359921081399,False
feynman_III_10_19,SeTGAP,0.9999999956715842,2.0450423798078656,False
feynman_III_10_19,SeTGAP,0.9954538882988174,2.3742888060983702,True
feynman_III_10_19,SeTGAP,0.9954538882988174,2.3742888060983702,False
feynman_III_10_19,SeTGAP,0.9979741362867588,1.5811192093659563,False
feynman_III_10_19,SeTGAP,0.9979741362867738,0.2166457602462307,False
feynman_III_10_19,gplearn,0.9838049322766576,0.8459827843966006,False
feynman_III_10_19,gplearn,0.992277458437294,0.4027151560207869,False
feynman_III_10_19,gplearn,0.9896473474615062,0.5494730671373913,False
feynman_III_10_19,gplearn,0.9957595363398328,0.2260839797569905,False
feynman_III_10_19,gplearn,0.9900192015352764,0.533587154156617,False
feynman_III_10_19,gplearn,0.969576021866246,1.5899706352658325,False
feynman_III_10_19,gplearn,0.9670153699972232,1.7353106922615933,False
feynman_III_10_19,gplearn,0.9821957941417994,0.9417728454186344,False
feynman_III_12_43,AFP,0.9999995078522628,3.199800334202291e-07,False
feynman_III_12_43,AFP,0.9999999335646153,4.3415675547801474e-08,True
feynman_III_12_43,AFP,0.9999987467839432,8.149593523572828e-07,True
feynman_III_12_43,AFP,0.9999994692034132,3.439161585094278e-07,False
feynman_III_12_43,AFP,0.999999335223372,4.340097381278892e-07,False
feynman_III_12_43,AFP,0.9999998428409628,1.0187230093125616e-07,True
feynman_III_12_43,AFP,0.9999998512846558,9.545784128160289e-08,True
feynman_III_12_43,AFP,0.9999999738899612,1.710031315883093e-08,False
feynman_III_12_43,AFP_FE,0.999999916311476,5.44118253243043e-08,True
feynman_III_12_43,AFP_FE,0.9999999813498482,1.2083891809704516e-08,False
feynman_III_12_43,AFP_FE,0.999999993819181,4.048019242060298e-09,True
feynman_III_12_43,AFP_FE,0.999998976901596,6.653151371175145e-07,True
feynman_III_12_43,AFP_FE,0.9999989522929472,6.81374284492699e-07,True
feynman_III_12_43,AFP_FE,0.9999985438049376,9.50699545070791e-07,True
feynman_III_12_43,AFP_FE,0.9999994958113756,3.294884168878965e-07,True
feynman_III_12_43,AFP_FE,0.9999992850152672,4.634613514965944e-07,False
feynman_III_12_43,AFP_FE,0.9999993383248303,4.277509406760016e-07,False
feynman_III_12_43,AFP_FE,0.999999622687482,2.421904657061947e-07,True
